"ID","领域","已实现与证据","剩余差距","优先级","来源"
"G01","账号、选角、登录重连","Web/Windows 有完整壳层与服务端鉴权；最新重复 StartGame 修复已构建","最新 Windows 登录→进图→退出→重进仍缺实机复验；不能把修复记录当通过","P0-体验门","S19;S24;S25"
"G02","移动、奔跑、寻路、相机","Zone 意图、速度、碰撞、AOI；客户端预测及真实时钟修复","用户拉回/相机漂移为有效失败观察；需同版长按、高延迟、拥挤碰撞连续验证","P0-体验门","S20;S21;S05"
"G03","地图、建筑、跨图、小地图","463 非空地图名与移动数据已导入；两端有地图 UI","Windows 地图素材未全量闭合，keyed 缺源仍允许；跨图旧失败未正式关闭","P1-实缺","S12;S13;S18;S47;S48"
"G04","地图规则、门、危险地面、活动","环境参数、危险地面、6 个类型化地图坐标事件已有实现","18 个通用事件只导入未执行；完整门/墙/活动状态机及时间边界待覆盖","P1-实缺","S10;S02"
"G05","五职业、经验、等级成长","5 职业及经验升级、基础属性、角色创建链路存在","完整等级曲线、职业限制、技能学习/升级与长期成长旅程无统一对照证据","P1-待核验","S02;S05"
"G06","技能、法术、资源消耗","109 技能模板；个人与 Zone 有多类技能、治疗、召唤实现","技能×等级×目标×成功/失败×时序×视觉完整矩阵缺失；两执行路径需分别核对","P1-部分","S02;S05"
"G07","Buff、毒、控制、状态恢复","59 Buff 定义；Zone 有中毒、控制、治疗、地面法术","叠加、驱散、免疫、死亡/跨图/断线与剩余时间完整语义待验","P1-待核验","S02;S05"
"G08","普攻、远程、命中与受击","共享伤害、攻击模式、安全区、动作回包及血条已接入","自身攻击 ID 仅修选定回包；异步受击身份及全装备方向动画仍待闭合","P1-部分","S05;S22"
"G09","普通怪物 AI","个人模拟有大量专属处理；共享 Zone 有追击、攻击、控制、召唤","共享路径没有整体使用个人专属 AI，不能把个人测试扩展成线上行为完成","P1-实缺","S05;S06"
"G10","Boss、特殊怪、阶段机制","个人沃玛教主等专用状态机存在","沃玛教主被围传送/分阶段狂暴未见共享 tick 接入；Boss 全目录待迁入/验证","P1-实缺","S05;S07;S08"
"G11","死亡、尸体、收割、复活刷新","Zone 已拥有墙钟刷新、尸体/收割门及 checkpoint","全怪/全地图/归属与恢复组合未逐一对照；不能沿用旧“尚无共享刷新”结论","P1-待核验","S02;S05;S06"
"G12","掉落、抢拾、归属、奖励","完整 UserItem、claim ticket、Slice A–D 原子结算已有边界证据","不能外推全部掉落生产者、死亡规则与当前部署崩溃闭环；需保留先前修复成果","P1-待核验","S02;S23"
"G13","背包、药品、装备、仓库","常规 use/equip/remove/drop/delete/split/merge 与保存存在","Windows 原版拖拽/双击/锁定仍有替代操作；全容器、腰带优先规则未闭合","P1-部分","S16;S18"
"G14","实例词条、耐久、绑定、嵌套物品","核心数据可保存丰富实例与图标信息","跨市场/精炼出现降为模板再生成的实际缺陷，不能声明全系统物品保真","P0-资产正确性","S03;S04"
"G15","任务、任务道具、奖励、成长线","154 任务、个人领取/交付/选择奖励与新手多段测试存在","全任务分支、日常/限制、职业全旅程、失败/重登待逐项验证","P1-部分","S02;S09"
"G16","NPC 脚本语言与世界服务","634 脚本已导入；大量条件/动作有解释器","实例移动、邮件构造、定时器、移除技能/Buff 等源语法未在对应分派覆盖","P1-实缺","S09;S41"
"G17","NPC 商店、修理、商城、个人仓库","两端已有窗口、购买/售卖/修理/回执与部分权限实现","服务距离、断线、容量、重复回包、过期 NPC 及全商品限制待整体验证","P1-待核验","S16;S17;S18"
"G18","制作、配方、觉醒、镶嵌等加工","79 配方及后端多类加工 handler；Web 接收结果","Windows 缺完整发起入口；Web 部分结果只记日志，不能据此算操作闭环","P1-实缺","S03;S16;S17"
"G19","武器精炼与材料价值","有存入/取回/取消/概率模型","完整物品被存成 key，取回固定数量 1；材料耐久/词条按模板代替","P0-资产正确性","S03"
"G20","采矿、钓鱼、采集","个人采矿/钓鱼逻辑及部分测试存在","全世界 MineZones 为空，矿区分布未导入；Windows 钓鱼菜单禁用","P1-实缺","S04;S14;S44"
"G21","双人交易","共享邀请/配对、金币即时保管、一次性完成与恢复已改进","双方物品格只读；精确物品保管、编辑解锁、容量失败保留报价未完成","P1-实缺","S02;S15;S40"
"G22","市场、拍卖、寄售","普通包有搜索/购买/取回；Web 有部分入口","个人 Stage5 列表、完整物品丢失、固定价语义；完整全服市场/竞价待实现","P0-资产正确性","S03;S04;S17;S35"
"G23","邮件、租借、异步资产交付","邮件载体、领取、共享租借入口及部分幂等机制存在","全在线/离线/跨区/到期/重放/满包组合与 Native 操作入口未闭合","P1-部分","S02;S16"
"G24","组队、聊天、协作奖励","真实共享聊天、组队归属与奖励路径，历史两人远程证据","全组队邀请/退出/跨图/掉线/队长变更及多人连续体验仍待验证","P1-待核验","S02;S28;S29"
"G25","行会、行会仓库、权限","有成员/公告/权限/仓库/聊天的状态与 packet handler","普通改成员/接受邀请仍修改个人 guild；完整共享行会权威与跨成员一致性未找到","P1-实缺","S03;S04"
"G26","PK、行会战、领地、攻城","Zone 玩家伤害/安全区/模式已实现；本地领地字段与操作存在","完整战争调度、城防、积分、胜负结算共享状态机未找到","P1-实缺","S05;S36;S37"
"G27","好友、黑名单、师徒、婚姻、排行","Web 多数有真实窗口及发包回调；部分后端状态存在","Windows 对应菜单禁用；全服在线名单、关系生命周期还需跨账号验证","P1-实缺","S14;S16;S17"
"G28","英雄、战斗随从、召唤","个人英雄装备/技能/AI；Zone 部分召唤物有战斗","共享个人 tick 禁英雄战斗且未找到 Zone 对应英雄战斗，不能视为在线英雄完成","P1-实缺","S05;S06;S04"
"G29","智能宠物、坐骑、跟随与拾取","部分拾取/维护、坐骑三格跑及骑乘呈现存在","Windows 智能生物/坐骑入口禁用；完整控制、装备、跨图、死亡恢复未闭合","P1-实缺","S05;S14;S16"
"G30","HUD、窗口、名字、提示、键位、设置","大量原版位图、背包/任务/地图/设置窗口已实现","33 项用户观察清单仍保留；8 项菜单禁用；音量条等交互仍为替代行为","P1-实缺","S14;S18"
"G31","人物、怪物、NPC 动作与特效","703 库动作元数据；Native 有组合图层及多种效果代码","实体图集仅 8 个 Monster 库；其他非玩家帧不走原图 fallback；缺动作降级","P1-实缺","S11;S43;S45"
"G32","光照、遮挡、环境动画、声音","Native 有光照/环境帧与选定精确音效；Web 有独立模块","黑色光照反馈未关闭；声音包仅 49 文件；全图/全动作声画时序及真实 DPI 待验","P1-部分","S18;S21;S49"
"G33","存档、数据库、恢复、迁移","Argon2id、PostgreSQL、事务/outbox、恢复日志、旧版迁移与故障测试存在","历史成果须保留；当前全部经济生产者及最新版本故障/备份恢复证据仍未统一","P1-待核验","S02;S23;S25;S28;S29"
"G34","安全、GM、权限、审计","生产 debug 命令拒绝、账号生命周期鉴权、管理认证/限流、Passkey fail-closed","本次仅抽查关键边界，不能宣称安全漏洞清零；运营全流程/配置与依赖安全需专项门","P1-待核验","S24;S25;S26;S27"
"G35","多人容量、HA、监控运维","历史 500 人混合玩法与故障恢复通过；有遥测、队列、部署/验收脚本","1000 人报告延迟/吞吐失败；3000 人缺合格硬件/最终报告；长期耐久与当前重验待做","P1-实缺/验收","S28;S29;S30;S31;S42"
"G36","打包、更新、兼容性、发布验收","有 CI、Windows 包及多次可运行开发 EXE","最新修复包与历史 Candidate 非同一版本；正式签名/资源授权/同状态原版对比/DPI/soak/人工门开放","P1-待核验","S18;S19;S33"

